pot_no,nh4,beta,bg_scam10,bg_sppa10,total_bg,site_frame,level,position,co2,salinity,comp,elevation,genotype,location,depth_seed,cohort,origin_lab,date_cloned_grp,date_planted_grp,weight_init,width_init,nodes_init,agb_scam,agb_sppa,dens_scam_live,dens_scam_dead,height_sppa,height_scam_tot,height_scam_grn,width_scam_mid,width_scam_bas,prop_twist,soil_to_pot,id,extinct,age
31,NA,0.8480765396955865,8.386,NA,10.335999999999999,fresh_1,4,7,ambient,fresh,0,0.23233333333333336,cm3,corn,0,corn_modern,utk,1,1,1.507,1.92,1,8.331902772010398,0,20,3,NA,56.23684210526316,55.421052631578945,4.421052631578948,4.910526315789474,0.21052631578947367,4,fresh_1_4_7,0,modern
32,NA,NA,NA,NA,NA,fresh_1,4,8,ambient,fresh,0,0.23233333333333336,b2,blackwater,10,blackwater,nd,1,1,0.375,2.33,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_4_8,1,modern
33,NA,NA,NA,NA,NA,fresh_1,5,1,ambient,fresh,1,0.11900000000000004,ca2,corn,18.75,corn_ancestral,utk,2,1,1.395,1.48,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_5_1,1,ancestral
34,NA,NA,NA,NA,NA,fresh_1,5,2,ambient,fresh,1,0.11900000000000004,cm7,corn,0,corn_modern,utk,1,1,0.347,1.11,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_5_2,1,modern
35,NA,NA,NA,NA,NA,fresh_1,5,3,ambient,fresh,0,0.11900000000000004,ca9,corn,14.25,corn_ancestral,nd,2,1,1.039,1.9,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_5_3,1,ancestral
36,NA,NA,NA,NA,NA,fresh_1,5,4,ambient,fresh,0,0.11900000000000004,ka2,kirkpatrick,14,kirk_ancestral,nd,1,1,2.404,1.84,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_5_4,1,ancestral
37,32.41868834,NA,0.796,0.004,1.187,fresh_1,5,5,ambient,fresh,1,0.11900000000000004,cm9,corn,0,corn_modern,nd,1,1,1.095,4.12,1,2.238,0,11,2,NA,44.36363636363637,43.13636363636363,2.8363636363636364,3.1090909090909093,0,5,fresh_1_5_5,0,modern
38,NA,NA,NA,NA,NA,fresh_1,5,6,ambient,fresh,0,0.11900000000000004,km5,kirkpatrick,extant,kirk_modern,nd,3,2,1.534,3.49,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_5_6,1,modern
39,NA,NA,NA,NA,NA,fresh_1,5,7,ambient,fresh,0,0.11900000000000004,ca10,corn,16.75,corn_ancestral,nd,1,1,0.401,1.89,1,0,0,0,0,NA,NA,NA,NA,NA,NA,4,fresh_1_5_7,1,ancestral
40,33.05937389,0.9141100345006928,1.384,NA,2.089,fresh_1,5,8,ambient,fresh,0,0.11900000000000004,cm6,corn,0,corn_modern,utk,2,1,2.505,1.9,1,2.157,0,12,1,NA,53.54545454545455,52.45454545454545,3.409090909090909,3.7,0,2,fresh_1_5_8,0,modern
41,NA,NA,NA,NA,NA,fresh_1,6,1,ambient,fresh,0,0.01666666666666669,b4,blackwater,10,blackwater,nd,1,1,0.709,1.89,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_6_1,1,modern
42,NA,NA,NA,NA,NA,fresh_1,6,2,ambient,fresh,0,0.01666666666666669,km3,kirkpatrick,0,kirk_modern,utk,1,1,0.324,1.87,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_6_2,1,modern
43,NA,NA,NA,NA,NA,fresh_1,6,3,ambient,fresh,0,0.01666666666666669,ka1,kirkpatrick,18,kirk_ancestral,utk,1,1,1.026,1.17,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_6_3,1,ancestral
44,NA,NA,NA,NA,NA,fresh_1,6,4,ambient,fresh,1,0.01666666666666669,cm10,corn,0,corn_modern,nd,1,1,1.196,4.12,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_6_4,1,modern
45,NA,NA,NA,NA,NA,fresh_1,6,5,ambient,fresh,0,0.01666666666666669,ca1,corn,20.75,corn_ancestral,utk,2,1,2.28,1.11,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_6_5,1,ancestral
46,NA,NA,NA,NA,NA,fresh_1,6,6,ambient,fresh,1,0.01666666666666669,ca10,corn,16.75,corn_ancestral,nd,2,1,2.174,1.74,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_6_6,1,ancestral
47,NA,NA,NA,NA,NA,fresh_1,6,7,ambient,fresh,0,0.01666666666666669,cm2,corn,0,corn_modern,utk,1,1,0.75,1.52,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_6_7,1,modern
48,NA,NA,NA,NA,NA,fresh_1,6,8,ambient,fresh,1,0.01666666666666669,ca2,corn,18.75,corn_ancestral,utk,1,1,0.495,0.89,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_1_6_8,1,ancestral
49,NA,NA,0.934,2.466,7.132,fresh_2,1,1,elevated,fresh,1,0.518,cm1,corn,0,corn_modern,utk,1,1,0.188,1.04,1,1.419,7.195,6,1,67,45,43.583333333333336,2.8166666666666664,2.783333333333333,0,6,fresh_2_1_1,0,modern
