pot_no,genotype,provenance,age,elevation,salinity,co2,comp,agb_scam,total_bg
106,cm7,corn,modern,0.4116666666666667,fresh,ambient,1,0.9480000000000001,6.27
107,ca1,corn,ancestral,0.4116666666666667,fresh,ambient,0,4.175,9.131
108,ca10,corn,ancestral,0.4116666666666667,fresh,ambient,0,0,NA
109,cm10,corn,modern,0.4116666666666667,fresh,ambient,1,3.98,7.75
110,km1,kirkpatrick,modern,0.4116666666666667,fresh,ambient,0,6.2860000000000005,12.987
111,ca3,corn,ancestral,0.4116666666666667,fresh,ambient,1,4.755,9.971
112,cm4,corn,modern,0.4116666666666667,fresh,ambient,0,4.036,10.872
113,km5,kirkpatrick,modern,0.31433333333333335,fresh,ambient,0,7.551,7.441000000000001
114,cm4,corn,modern,0.31433333333333335,fresh,ambient,1,6.885,10.396
115,cm2,corn,modern,0.31433333333333335,fresh,ambient,0,11.94394543530545,15.361
116,cm9,corn,modern,0.31433333333333335,fresh,ambient,0,13.618199663964154,13.661
117,ka6,kirkpatrick,ancestral,0.31433333333333335,fresh,ambient,0,9.689,10.696000000000002
118,ca3,corn,ancestral,0.31433333333333335,fresh,ambient,1,7.182,10.344
119,ca9,corn,ancestral,0.31433333333333335,fresh,ambient,1,6.662,11.578000000000001
120,ca4,corn,ancestral,0.31433333333333335,fresh,ambient,0,8.154746034409369,11.824
121,cm1,corn,modern,0.20933333333333337,fresh,ambient,0,1.9480071941486499,1.4020000000000001
122,ca7,corn,ancestral,0.20933333333333337,fresh,ambient,1,10.139,9.122
123,cm10,corn,modern,0.20933333333333337,fresh,ambient,1,0,NA
124,ca10,corn,ancestral,0.20933333333333337,fresh,ambient,0,10.282318670843289,9.895
125,ka2,kirkpatrick,ancestral,0.20933333333333337,fresh,ambient,0,5.0120000000000005,4.465
126,cm9,corn,modern,0.20933333333333337,fresh,ambient,0,8.777651918600576,8.554
127,ca6,corn,ancestral,0.20933333333333337,fresh,ambient,0,0,NA
128,b2,blackwater,modern,0.20933333333333337,fresh,ambient,0,0.026999999999999996,0.505
129,ca5,corn,ancestral,0.1006666666666667,fresh,ambient,0,3.232,2.5140000000000002
130,cm10,corn,modern,0.1006666666666667,fresh,ambient,0,0,0.109
131,cm2,corn,modern,0.1006666666666667,fresh,ambient,1,0,NA
132,ca2,corn,ancestral,0.1006666666666667,fresh,ambient,1,3.967,2.617
133,b4,blackwater,modern,0.1006666666666667,fresh,ambient,0,1.7009999999999998,1.071
134,km3,kirkpatrick,modern,0.1006666666666667,fresh,ambient,0,0,NA
135,ka5,kirkpatrick,ancestral,0.1006666666666667,fresh,ambient,0,0,0.197
136,cm8,corn,modern,0.1006666666666667,fresh,ambient,1,0,NA
137,cm9,corn,modern,-0.0026666666666666367,fresh,ambient,1,0,NA
138,ca4,corn,ancestral,-0.0026666666666666367,fresh,ambient,0,0,NA
139,ca6,corn,ancestral,-0.0026666666666666367,fresh,ambient,1,0,NA
140,b3,blackwater,modern,-0.0026666666666666367,fresh,ambient,0,0,NA
141,km2,kirkpatrick,modern,-0.0026666666666666367,fresh,ambient,0,0,NA
142,cm1,corn,modern,-0.0026666666666666367,fresh,ambient,1,0,NA
143,cm4,corn,modern,-0.0026666666666666367,fresh,ambient,0,0,NA
144,ca10,corn,ancestral,-0.0026666666666666367,fresh,ambient,0,0,NA
145,ka6,kirkpatrick,ancestral,0.49566666666666664,fresh,ambient,0,2.637,3.976
146,km6,kirkpatrick,modern,0.49566666666666664,fresh,ambient,0,5.279,8.372
147,b1,blackwater,modern,0.49566666666666664,fresh,ambient,0,2.527,3.661
148,ca9,corn,ancestral,0.49566666666666664,fresh,ambient,1,3.36,8.538
149,cm2,corn,modern,0.49566666666666664,fresh,ambient,0,3.479,8.666
150,ca3,corn,ancestral,0.49566666666666664,fresh,ambient,0,3.6479999999999997,6.648
151,ca10,corn,ancestral,0.49566666666666664,fresh,ambient,1,1.281,7.593
152,cm10,corn,modern,0.49566666666666664,fresh,ambient,1,0.035,5.027
153,cm9,corn,modern,0.3956666666666666,fresh,ambient,1,3.795,8.167
154,cm7,corn,modern,0.3956666666666666,fresh,ambient,0,4.9399999999999995,6.388999999999999
155,km5,kirkpatrick,modern,0.3956666666666666,fresh,ambient,0,6.587,9.376999999999999
156,b2,blackwater,modern,0.3956666666666666,fresh,ambient,0,6.867000000000001,9.677999999999999
157,ca6,corn,ancestral,0.3956666666666666,fresh,ambient,0,5.89,11.892
158,ca8,corn,ancestral,0.3956666666666666,fresh,ambient,0,6.568,9.606
159,ca10,corn,ancestral,0.3956666666666666,fresh,ambient,1,5.606,10.727
160,cm1,corn,modern,0.3956666666666666,fresh,ambient,1,0,2.947
161,ka6,kirkpatrick,ancestral,0.2863333333333333,fresh,ambient,0,2.377,2.262
162,ca10,corn,ancestral,0.2863333333333333,fresh,ambient,1,10.093,14.912
163,b4,blackwater,modern,0.2863333333333333,fresh,ambient,0,8.645,12.95
164,cm1,corn,modern,0.2863333333333333,fresh,ambient,0,5.539946644952764,3.9280000000000004
165,ca2,corn,ancestral,0.2863333333333333,fresh,ambient,0,14.199333942765412,7.7410000000000005
166,cm8,corn,modern,0.2863333333333333,fresh,ambient,1,5.773,7.78
167,km3,kirkpatrick,modern,0.2863333333333333,fresh,ambient,0,0.9089999999999999,1.467
168,cm6,corn,modern,0.2863333333333333,fresh,ambient,1,6.533,8.427
169,cm2,corn,modern,0.1836666666666666,fresh,ambient,1,4.07,5.087
170,ca1,corn,ancestral,0.1836666666666666,fresh,ambient,0,4.010357840117566,4.121
171,ka3,kirkpatrick,ancestral,0.1836666666666666,fresh,ambient,0,5.355,6.298
172,km1,kirkpatrick,modern,0.1836666666666666,fresh,ambient,0,10.792,14.335
173,cm9,corn,modern,0.1836666666666666,fresh,ambient,1,7.138,6.856
174,cm5,corn,modern,0.1836666666666666,fresh,ambient,0,10.420967411392812,11.955
175,ca4,corn,ancestral,0.1836666666666666,fresh,ambient,1,4.441,4.8870000000000005
176,ca5,corn,ancestral,0.1836666666666666,fresh,ambient,0,12.54013109269258,6.05
177,ca4,corn,ancestral,0.07299999999999993,fresh,ambient,0,0,NA
178,ca8,corn,ancestral,0.07299999999999993,fresh,ambient,1,0,0.414
179,cm4,corn,modern,0.07299999999999993,fresh,ambient,1,0,NA
180,b1,blackwater,modern,0.07299999999999993,fresh,ambient,0,0,NA
181,cm3,corn,modern,0.07299999999999993,fresh,ambient,0,0,NA
182,ka1,kirkpatrick,ancestral,0.07299999999999993,fresh,ambient,0,0,NA
183,ca1,corn,ancestral,0.07299999999999993,fresh,ambient,1,1.569,1.393
184,cm8,corn,modern,0.07299999999999993,fresh,ambient,0,0,NA
185,ca3,corn,ancestral,-0.028333333333333405,fresh,ambient,1,0,NA
186,km5,kirkpatrick,modern,-0.028333333333333405,fresh,ambient,0,0,NA
187,cm6,corn,modern,-0.028333333333333405,fresh,ambient,0,0,NA
188,ca9,corn,ancestral,-0.028333333333333405,fresh,ambient,0,0,NA
189,ka6,kirkpatrick,ancestral,-0.028333333333333405,fresh,ambient,0,0,NA
190,ca7,corn,ancestral,-0.028333333333333405,fresh,ambient,0,0,0.348
191,cm7,corn,modern,-0.028333333333333405,fresh,ambient,1,0,NA
192,cm3,corn,modern,-0.028333333333333405,fresh,ambient,1,0,NA
193,ca10,corn,ancestral,0.504,fresh,elevated,1,0.6579999999999999,6.279
194,b2,blackwater,modern,0.504,fresh,elevated,0,3.295,9.497
195,ca2,corn,ancestral,0.504,fresh,elevated,0,3.367,11.103
196,cm2,corn,modern,0.504,fresh,elevated,0,1.9969999999999999,6.799
197,km1,kirkpatrick,modern,0.504,fresh,elevated,0,5.456,11.790999999999999
198,cm3,corn,modern,0.504,fresh,elevated,1,2.5989999999999998,8.714
199,cm10,corn,modern,0.504,fresh,elevated,1,3.417,9.816
200,ka4,kirkpatrick,ancestral,0.504,fresh,elevated,0,2.377,9.384
201,km6,kirkpatrick,modern,0.3973333333333333,fresh,elevated,0,6.096,11.177
202,ca8,corn,ancestral,0.3973333333333333,fresh,elevated,0,0,NA
203,b4,blackwater,modern,0.3973333333333333,fresh,elevated,0,6.026000000000001,13.459999999999999
204,cm4,corn,modern,0.3973333333333333,fresh,elevated,0,5.127,15.145999999999999
205,ca2,corn,ancestral,0.3973333333333333,fresh,elevated,0,7.287000000000001,NA
206,ca4,corn,ancestral,0.3973333333333333,fresh,elevated,1,4.909,12.711
207,cm9,corn,modern,0.3973333333333333,fresh,elevated,1,6.194999999999999,15.389999999999999
208,ka2,kirkpatrick,ancestral,0.3973333333333333,fresh,elevated,0,10.665,20.771
209,ca10,corn,ancestral,0.29666666666666663,fresh,elevated,1,2.868,3.7870000000000004
210,cm10,corn,modern,0.29666666666666663,fresh,elevated,0,12.46087820181262,15.237
211,ka5,kirkpatrick,ancestral,0.29666666666666663,fresh,elevated,0,5.6240000000000006,7.917
212,b2,blackwater,modern,0.29666666666666663,fresh,elevated,0,7.889,10.054
213,ca6,corn,ancestral,0.29666666666666663,fresh,elevated,1,3.675,10.577
214,ca7,corn,ancestral,0.29666666666666663,fresh,elevated,0,8.137433733217444,11.742
215,cm8,corn,modern,0.29666666666666663,fresh,elevated,1,0.068,2.559
